[2024-12-14 01:10:05] Blacklist/Whitelist refresh thread started.
[2024-12-14 01:10:05] Cache cleanup thread started.
[2024-12-14 01:10:05] Active connections monitoring started.
[2024-12-14 01:10:05] Proxy server running on 127.0.0.1:9090
[2024-12-14 01:15:30] Server stopped by user.
[2024-12-14 01:15:30] Server socket closed.
[2024-12-14 01:15:30] Proxy server shutdown complete.
[2024-12-14 01:15:41] Blacklist/Whitelist refresh thread started.
[2024-12-14 01:15:41] Cache cleanup thread started.
[2024-12-14 02:00:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:00:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:00:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:00:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:00:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:00:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:01:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:01:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:01:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:01:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:01:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:01:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:02:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:02:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:02:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:02:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:02:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 02:53:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 04:02:03] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 05:09:31] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 05:34:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 05:43:09] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 07:00:27] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 07:01:04] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:07:40] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:07:50] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:08:00] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:08:10] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:08:20] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:08:30] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:08:40] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:08:50] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:09:00] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:09:10] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:09:20] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:09:30] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:09:40] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:09:50] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:10:00] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:10:10] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:10:20] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:10:30] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:10:40] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:10:50] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:11:00] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:11:10] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:11:20] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:11:30] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:11:40] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 09:11:50] Monitoring: Active connections: 0, Cache size: 0
